id,averageTime,maxTime,minTime,averageMemory,maxMemory,minMemory,totalEntries,validEntries,skippedEntries,numSAT,numUNSAT
Easy,0.016,0.172,0.002,3.626,3.626,3.626,100,100,0,81,19
Medium,0.023,0.254,0.006,3.626,3.626,3.626,100,100,0,95,5
Hard,0.015,0.038,0.008,3.626,3.626,3.626,100,100,0,100,0
